,Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Tgt,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,PlayerID
102,103.0,Romeo Doubs,GNB,WR,23.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,69.0,41.0,433.0,10.56,7.0,0.0,0.0,7.0,,,85.0,126.3,129.3,105.8,,32.0,,DoubRo00
103,104.0,Zay Flowers,BAL,WR,23.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,8.0,56.0,7.0,1.0,80.0,58.0,613.0,10.57,2.0,0.0,0.0,3.0,,,85.0,142.9,145.9,113.9,,34.0,,FlowZa00
104,105.0,Deebo Samuel,SFO,WR,27.0,9.0,9.0,0.0,1.0,0.0,0.0,0.0,26.0,138.0,5.31,3.0,49.0,34.0,474.0,13.94,1.0,1.0,0.0,4.0,,,85.0,119.2,125.2,102.2,,33.0,,SamuDe00
105,106.0,Jonathan Taylor,IND,RB,24.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,100.0,414.0,4.14,4.0,19.0,16.0,137.0,8.56,1.0,0.0,0.0,5.0,,,85.0,101.1,107.1,93.1,,30.0,,TaylJo02
106,107.0,Marquise Brown,ARI,WR,26.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,2.0,23.0,11.5,0.0,98.0,51.0,574.0,11.25,4.0,0.0,0.0,4.0,,,84.0,134.7,137.7,109.2,,36.0,,BrowMa04
107,108.0,Tyler Lockett,SEA,WR,31.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,79.0,54.0,575.0,10.65,4.0,0.0,0.0,4.0,1.0,,84.0,137.5,140.5,110.5,,37.0,,LockTy00
108,109.0,Garrett Wilson,NYJ,WR,23.0,11.0,11.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,6.0,0.0,113.0,64.0,695.0,10.86,3.0,2.0,2.0,3.0,,,84.0,148.1,153.1,116.1,,35.0,,WilsGa00
109,110.0,Rashee Rice,KAN,WR,23.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,-3.0,-3.0,0.0,56.0,44.0,527.0,11.98,5.0,0.0,0.0,5.0,,,82.0,126.4,129.4,104.4,,38.0,,RiceRa01
110,111.0,Javonte Williams,DEN,RB,23.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,140.0,538.0,3.84,0.0,34.0,26.0,131.0,5.04,2.0,0.0,0.0,2.0,1.0,,81.0,106.9,112.9,93.9,,31.0,,WillJa10
111,112.0,Rashid Shaheed,NOR,WR,25.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,33.0,5.5,0.0,55.0,33.0,534.0,16.18,3.0,1.0,1.0,4.0,,,79.0,111.7,115.7,95.2,,39.0,,ShahRa00
112,113.0,Devin Singletary,HOU,RB,26.0,11.0,4.0,1.0,1.0,6.0,1.0,0.0,120.0,489.0,4.08,2.0,22.0,18.0,113.0,6.28,0.0,0.0,0.0,2.0,,,76.0,94.4,100.4,85.4,,32.0,,SingDe00
113,114.0,Tyler Allgeier,ATL,RB,23.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,135.0,466.0,3.45,3.0,17.0,12.0,83.0,6.92,0.0,0.0,0.0,3.0,1.0,,75.0,86.9,89.9,80.9,,33.0,,AllgTy00
114,115.0,D'Onta Foreman,CHI,RB,27.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,92.0,381.0,4.14,4.0,13.0,9.0,55.0,6.11,1.0,1.0,0.0,5.0,,,74.0,82.6,85.6,78.1,,35.0,,ForeDO00
115,116.0,Chuba Hubbard,CAR,RB,24.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,118.0,453.0,3.84,2.0,32.0,28.0,165.0,5.89,0.0,1.0,0.0,2.0,,,74.0,101.8,107.8,87.8,,34.0,,HubbCh01
116,117.0,Justin Jefferson,MIN,WR,24.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,53.0,36.0,571.0,15.86,3.0,1.0,1.0,3.0,,,73.0,109.1,113.1,91.1,,40.0,,JeffJu00
117,118.0,Anthony Richardson,IND,QB,21.0,4.0,4.0,50.0,84.0,577.0,3.0,1.0,25.0,136.0,5.44,4.0,0.0,0.0,0.0,,0.0,3.0,1.0,4.0,,2.0,73.0,72.7,80.7,73.7,,30.0,,RichAn03
118,119.0,Brandin Cooks,DAL,WR,30.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,3.0,23.0,7.67,0.0,48.0,33.0,452.0,13.7,4.0,1.0,0.0,4.0,,,72.0,104.5,107.5,88.0,,41.0,,CookBr00
119,120.0,Kareem Hunt,CLE,RB,28.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,89.0,286.0,3.21,6.0,12.0,9.0,59.0,6.56,0.0,0.0,0.0,6.0,,,71.0,79.5,82.5,75.0,,36.0,,HuntKa00
120,121.0,Tutu Atwell,LAR,WR,24.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,4.0,35.0,8.75,0.0,60.0,36.0,467.0,12.97,3.0,0.0,0.0,3.0,,1.0,70.0,106.2,109.2,88.2,,42.0,,AtweTu00
121,122.0,Chris Godwin,TAM,WR,27.0,11.0,11.0,0.0,1.0,0.0,0.0,0.0,1.0,14.0,14.0,0.0,82.0,53.0,606.0,11.43,1.0,0.0,0.0,1.0,1.0,,70.0,123.0,126.0,96.5,,43.0,,GodwCh00
