Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,PlayerID
368,Lawrence Cager,NYG,TE,26,5,0,0,0,0,0,0,0,0,,0,2,2,17,8.50,0,0,0,0,,,2,3.7,3.7,2.7,,80,,CageLa01
369,DeAndre Carter,LVR,WR,30,6,1,0,0,0,0,0,2,3,1.50,0,5,2,21,10.50,0,1,0,0,,,2,4.4,4.4,3.4,,144,,CartDe02
370,Jamison Crowder,WAS,WR,30,6,0,0,0,0,0,0,0,0,,0,2,2,21,10.50,0,0,0,0,,,2,4.1,4.1,3.1,,150,,CrowJa00
371,Tyrion Davis-Price,SFO,RB,23,1,0,0,0,0,0,0,6,21,3.50,0,0,0,0,,0,0,0,0,,,2,2.1,2.1,2.1,,107,,DaviTy03
372,Elijah Dotson,LAC,RB,24,4,0,0,0,0,0,0,4,6,1.50,0,2,2,13,6.50,0,0,0,0,,,2,3.9,3.9,2.9,,110,,DotsEl00
373,Devin Duvernay,BAL,WR,26,6,1,0,0,0,0,0,3,15,5.00,0,7,2,8,4.00,0,0,0,0,,,2,4.3,4.3,3.3,,147,,DuveDe00
374,Chase Edmonds,TAM,RB,27,2,0,0,0,0,0,0,4,20,5.00,0,0,0,0,,0,0,0,0,,,2,2.0,2.0,2.0,,109,,EdmoCh00
375,Erik Ezukanma,MIA,WR,23,2,0,0,0,0,0,0,5,22,4.40,0,1,0,0,,0,0,0,0,,,2,2.2,2.2,2.2,,149,,EzukEr00
376,Jake Funk,IND,RB,25,4,0,0,0,0,0,0,2,10,5.00,0,1,1,12,12.00,0,0,0,0,,,2,3.2,3.2,2.7,,106,,FunkJa00
377,Xavier Hutchinson,HOU,WR,23,6,0,0,0,0,0,0,2,15,7.50,0,2,1,9,9.00,0,0,0,0,,,2,3.4,3.4,2.9,,145,,HutcXa00
378,Marvin Jones,DET,WR,33,6,4,0,0,0,0,0,0,0,,0,10,5,35,7.00,0,1,1,0,,,2,6.5,7.5,4.0,,154,,JoneMa02
379,Zonovan Knight,DET,RB,22,2,0,0,0,0,0,0,3,13,4.33,0,1,1,8,8.00,0,0,0,0,,,2,3.1,3.1,2.6,,108,,KnigZo00
